x,u
0.33668341708542715,0.75356627
0.3417085427135678,0.72994787
0.34673366834170855,0.7059077
0.35175879396984927,0.6815297
0.35678391959798994,0.6569008
0.36180904522613067,0.6321082
0.36683417085427134,0.60724026
0.37185929648241206,0.58238584
0.3768844221105528,0.55763817
0.38190954773869346,0.5330841
0.3869346733668342,0.5088148
0.3919597989949749,0.48491687
0.3969849246231156,0.46147633
0.4020100502512563,0.4385783
0.40703517587939697,0.4163018
0.4120603015075377,0.39472502
0.4170854271356784,0.3739273
0.4221105527638191,0.35397565
0.4271356783919598,0.33494073
0.4321608040201005,0.31688625
0.4371859296482412,0.29987228
0.44221105527638194,0.2839564
0.4472361809045226,0.26918817
0.45226130653266333,0.25561816
0.457286432160804,0.24328633
0.4623115577889447,0.23223557
0.46733668341708545,0.22249739
0.4723618090452261,0.21410297
0.47738693467336685,0.20707853
0.4824120603015075,0.20144428
0.48743718592964824,0.19721751
0.49246231155778897,0.19441034
0.49748743718592964,0.19303168
0.5025125628140703,0.19308479
0.507537688442211,0.19457029
0.5125628140703518,0.19748236
0.5175879396984925,0.20181225
0.5226130653266332,0.20754515
0.5276381909547738,0.21466486
0.5326633165829145,0.2231472
0.5376884422110553,0.23296411
0.542713567839196,0.24408509
0.5477386934673367,0.25647593
0.5527638190954774,0.27009398
0.5577889447236181,0.28489983
0.5628140703517588,0.30084354
0.5678391959798995,0.31787896
0.5728643216080402,0.33595067
0.577889447236181,0.35500365
0.5829145728643216,0.3749799
0.5879396984924623,0.3958153
0.592964824120603,0.41744572
0.5979899497487438,0.4397998
0.6030150753768845,0.4628027
0.6080402010050251,0.4863789
0.6130653266331658,0.5104441
0.6180904522613065,0.5349147
0.6231155778894473,0.5596991
0.628140703517588,0.58470935
0.6331658291457286,0.6098502
0.6381909547738693,0.6350254
0.6432160804020101,0.66014457
0.6482412060301508,0.6851117
0.6532663316582915,0.7098331
0.6582914572864321,0.7342185
0.6633165829145728,0.75818276
0.6683417085427136,0.7816399
0.6733668341708543,0.80450636
0.678391959798995,0.8267097
0.6834170854271356,0.84817505
0.6884422110552764,0.86883354
0.6934673366834171,0.88862467
0.6984924623115578,0.9074916
0.7035175879396985,0.92538255
0.7085427135678392,0.9422477
0.7135678391959799,0.9580495
0.7185929648241206,0.97274977
0.7236180904522613,0.98631674
0.7286432160804021,0.9987274
0.7336683417085427,1.0099525
0.7386934673366834,1.0199782
0.7437185929648241,1.0287858
0.7487437185929648,1.0363642
0.7537688442211056,1.0427041
0.7587939698492463,1.0477966
0.7638190954773869,1.0516365
0.7688442211055276,1.0542246
0.7738693467336684,1.0555648
0.7788944723618091,1.0556545
0.7839195979899498,1.0545037
0.7889447236180904,1.0521203
0.7939698492462312,1.0485185
0.7989949748743719,1.0437024
0.8040201005025126,1.0376935
0.8090452261306533,1.0305047
0.8140703517587939,1.02215
0.8190954773869347,1.012645
0.8241206030150754,1.0020057
0.8291457286432161,0.9902474
0.8341708542713568,0.9773826
0.8391959798994975,0.9634264
0.8442211055276382,0.948397
0.8492462311557789,0.9322997
0.8542713567839196,0.9151512
0.8592964824120604,0.8969627
0.864321608040201,0.8777441
0.8693467336683417,0.85750663
0.8743718592964824,0.83626205
0.8793969849246231,0.81401753
0.8844221105527639,0.7907815
0.8894472361809045,0.76656795
0.8944723618090452,0.74138
0.8994974874371859,0.7152299
0.9045226130653267,0.68812305
0.9095477386934674,0.6600694
0.914572864321608,0.63107455
0.9195979899497487,0.60114694
0.9246231155778895,0.5702991
0.9296482412060302,0.5385339
0.9346733668341709,0.5058615
0.9396984924623115,0.47229087
0.9447236180904522,0.4378296
0.949748743718593,0.40249205
0.9547738693467337,0.3662855
0.9597989949748744,0.32922208
0.964824120603015,0.2913108
0.9698492462311558,0.2525704
0.9748743718592965,0.21301128
0.9798994974874372,0.17265041
0.9849246231155779,0.13150236
0.9899497487437187,0.08958624
0.9949748743718593,0.04692456
1.0,0.00352557
